freq,unit,coicop,geo\TIME_PERIOD	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 
M,RCH_M,CP01164,EE	-2.9 	0.6 	2.0 	0.3 	1.0 	3.3 	0.8 	-1.4 	4.9 	: 
M,RCH_M,CP0117,EE	-0.7 	-3.5 	-5.3 	4.8 	1.6 	1.5 	9.9 	1.7 	4.7 	: 
M,RCH_M,CP01171,EE	-7.9 	-1.2 	-5.0 	5.7 	4.4 	-0.1 	16.9 	2.8 	7.1 	: 
M,RCH_M,CP01172,EE	0.8 	-1.5 	0.9 	4.1 	-4.6 	2.3 	1.5 	0.3 	0.7 	: 
M,RCH_M,CP01173,EE	2.7 	-1.1 	-1.3 	1.3 	-2.3 	6.2 	3.2 	0.6 	3.6 	: 
M,RCH_M,CP01174,EE	21.0 	-15.3 	-13.9 	7.4 	0.6 	-1.1 	6.2 	0.1 	0.9 	: 
M,RCH_M,CP01175,EE	-1.2 	1.3 	-4.6 	5.5 	-1.9 	1.3 	4.8 	1.7 	1.8 	: 
M,RCH_M,CP01176,EE	0.0 	0.0 	-0.2 	-0.2 	0.2 	3.1 	0.4 	0.9 	2.2 	: 
M,RCH_M,CP0118,EE	1.5 	-0.1 	-1.3 	1.6 	-1.6 	2.9 	2.6 	0.4 	0.5 	: 
M,RCH_M,CP01181,EE	0.0 	0.0 	0.5 	3.8 	0.1 	3.8 	0.4 	4.3 	5.7 	: 
M,RCH_M,CP01182,EE	0.7 	-2.1 	2.2 	0.0 	-2.3 	6.7 	5.6 	-0.7 	2.6 	: 
M,RCH_M,CP01183,EE	1.4 	0.4 	-3.4 	2.1 	0.3 	-0.2 	0.7 	-1.1 	0.4 	: 
M,RCH_M,CP01184,EE	3.9 	-0.2 	-1.2 	1.5 	-1.3 	2.7 	2.8 	-0.1 	-0.5 	: 
M,RCH_M,CP01185,EE	-0.1 	0.0 	0.1 	1.1 	-4.5 	5.8 	4.1 	2.5 	-0.2 	: 
M,RCH_M,CP0119,EE	0.4 	0.6 	-0.2 	2.6 	-0.5 	2.6 	3.0 	1.6 	3.2 	: 
M,RCH_M,CP01191,EE	0.4 	0.9 	-0.5 	0.8 	-0.3 	1.5 	8.2 	4.1 	-0.1 	: 
M,RCH_M,CP01192,EE	2.8 	0.5 	-0.8 	10.1 	0.4 	0.8 	-0.3 	2.2 	12.2 	: 
M,RCH_M,CP01193,EE	0.9 	-0.4 	-0.7 	4.0 	2.9 	-1.0 	2.4 	1.7 	0.7 	: 
M,RCH_M,CP01194,EE	-0.2 	1.0 	0.0 	1.8 	-1.2 	3.5 	1.6 	0.7 	3.7 	: 
M,RCH_M,CP01199,EE	1.6 	-2.8 	2.1 	2.1 	-2.1 	5.6 	2.5 	-0.2 	2.3 	: 
M,RCH_M,CP012,EE	0.8 	2.1 	-0.5 	2.9 	-3.2 	4.9 	1.5 	1.8 	0.9 	: 
M,RCH_M,CP0121,EE	3.6 	4.8 	-1.3 	3.8 	-4.8 	7.9 	2.9 	5.0 	1.3 	: 
M,RCH_M,CP01211,EE	4.1 	6.1 	-1.2 	4.0 	-6.7 	10.7 	3.3 	6.0 	1.1 	: 
M,RCH_M,CP01212,EE	2.5 	-0.2 	-2.0 	2.9 	2.0 	0.3 	1.9 	2.7 	2.2 	: 
M,RCH_M,CP01213,EE	-0.3 	-0.1 	-2.1 	3.3 	4.7 	2.5 	0.1 	-1.4 	1.7 	: 
M,RCH_M,CP0122,EE	-0.9 	0.5 	0.0 	2.4 	-2.2 	3.1 	0.6 	-0.4 	0.7 	: 
M,RCH_M,CP01221,EE	-0.2 	0.3 	1.6 	1.1 	0.5 	-1.0 	1.4 	0.3 	1.3 	: 
M,RCH_M,CP01222,EE	-0.4 	-0.9 	3.3 	1.9 	-1.1 	2.9 	0.3 	-0.9 	0.5 	: 
