freq,coicop,geo\TIME_PERIOD	2019 	2020 	2021 	2022 
A,CP03122,EE	23.46 	26.14 	20.38 	22.09 
A,CP03123,EE	8.73 	9.11 	7.69 	6.12 
A,CP0313,EE	3.88 	3.47 	2.22 	3.28 
A,CP03131,EE	3.08 	2.84 	1.89 	2.43 
A,CP03132,EE	0.80 	0.63 	0.34 	0.84 
A,CP0314,EE	0.92 	0.79 	0.58 	0.67 
A,CP03141,EE	0.64 	0.59 	0.43 	0.50 
A,CP03142,EE	0.28 	0.20 	0.14 	0.16 
A,CP032,EE	17.20 	16.30 	14.26 	12.63 
A,CP0321,EE	16.99 	16.12 	13.99 	12.38 
A,CP03211,EE	4.58 	4.27 	3.68 	3.83 
A,CP03212,EE	10.22 	9.57 	8.06 	6.92 
A,CP03213,EE	2.18 	2.28 	2.26 	1.63 
A,CP0322,EE	0.21 	0.18 	0.26 	0.25 
A,CP04,EE	121.96 	119.15 	142.45 	167.70 
A,CP041,EE	15.86 	17.10 	22.64 	27.34 
A,CP0411,EE	15.86 	17.10 	22.64 	27.34 
A,CP0412,EE	0.00 	0.00 	0.00 	0.00 
A,CP04121,EE	0.00 	0.00 	0.00 	0.00 
A,CP04122,EE	0.00 	0.00 	0.00 	0.00 
A,CP043,EE	11.51 	12.02 	15.33 	13.44 
A,CP0431,EE	8.42 	8.61 	10.49 	9.27 
A,CP0432,EE	3.09 	3.41 	4.84 	4.18 
A,CP04321,EE	0.00 	0.00 	0.00 	0.00 
A,CP04322,EE	0.00 	0.00 	0.00 	0.00 
A,CP04323,EE	0.00 	0.00 	0.00 	0.00 
A,CP04324,EE	0.00 	0.00 	0.00 	0.00 
A,CP04325,EE	0.00 	0.00 	0.00 	0.00 
A,CP04329,EE	3.09 	3.41 	4.84 	4.18 
A,CP044,EE	23.57 	23.05 	28.49 	25.76 
A,CP0441,EE	5.26 	4.17 	5.60 	5.06 
A,CP0442,EE	2.86 	3.19 	4.16 	3.92 
A,CP0443,EE	5.98 	6.26 	8.39 	7.56 
A,CP0444,EE	9.47 	9.42 	10.34 	9.23 
A,CP04441,EE	5.67 	5.49 	6.14 	5.62 
A,CP04442,EE	0.58 	0.82 	0.69 	0.43 
A,CP04449,EE	3.22 	3.12 	3.51 	3.19 
A,CP045,EE	71.02 	66.98 	75.99 	101.15 
A,CP0451,EE	30.61 	28.52 	34.15 	43.08 
A,CP0452,EE	5.38 	5.30 	6.05 	12.02 
A,CP04521,EE	4.72 	4.78 	5.51 	11.45 
A,CP04522,EE	0.65 	0.52 	0.54 	0.56 
A,CP0453,EE	0.33 	0.35 	0.30 	0.34 
A,CP0454,EE	10.28 	9.67 	10.81 	10.39 
A,CP04541,EE	0.08 	0.04 	0.13 	0.11 
A,CP04549,EE	10.20 	9.63 	10.68 	10.27 
A,CP0455,EE	24.43 	23.15 	24.69 	35.32 
A,CP05,EE	52.24 	52.75 	68.34 	67.20 
A,CP051,EE	14.76 	15.57 	20.24 	21.69 
A,CP0511,EE	14.20 	14.79 	19.36 	20.60 
A,CP05111,EE	13.06 	13.83 	17.18 	17.25 
A,CP05112,EE	0.00 	0.00 	0.00 	0.00 
A,CP05113,EE	1.14 	0.96 	2.18 	3.34 
A,CP05119,EE	0.00 	0.00 	0.00 	0.00 
A,CP0512,EE	0.56 	0.78 	0.88 	1.09 
A,CP05121,EE	0.37 	0.50 	0.57 	0.71 
A,CP05122,EE	0.19 	0.28 	0.31 	0.38 
A,CP05123,EE	0.00 	0.00 	0.00 	0.00 
A,CP0513,EE	0.00 	0.00 	0.00 	0.00 
A,CP052,EE	3.49 	4.22 	5.96 	4.87 
A,CP05201,EE	0.63 	0.99 	1.68 	1.24 
A,CP05202,EE	2.13 	2.33 	2.81 	2.72 
A,CP05203,EE	0.72 	0.89 	1.48 	0.92 
A,CP05204,EE	0.00 	0.00 	0.00 	0.00 
A,CP05209,EE	0.00 	0.00 	0.00 	0.00 
A,CP053,EE	10.93 	10.75 	14.15 	13.36 
A,CP0531,EE	9.25 	9.33 	12.10 	11.36 
A,CP05311,EE	2.17 	2.12 	2.81 	2.62 
A,CP05312,EE	2.99 	2.96 	3.76 	3.90 
A,CP05313,EE	1.55 	1.31 	1.92 	1.53 
A,CP05314,EE	1.72 	1.92 	2.30 	2.02 
A,CP05315,EE	0.81 	1.02 	1.32 	1.29 
A,CP05319,EE	0.00 	0.00 	0.00 	0.00 
A,CP0531_0532,EE	10.61 	10.59 	13.94 	13.22 
A,CP0532,EE	1.37 	1.26 	1.85 	1.86 
A,CP05321,EE	0.37 	0.35 	0.53 	0.77 
A,CP05322,EE	0.81 	0.77 	1.07 	0.90 
A,CP05323,EE	0.19 	0.15 	0.25 	0.19 
A,CP05324,EE	0.00 	0.00 	0.00 	0.00 
A,CP05329,EE	0.00 	0.00 	0.00 	0.00 
A,CP0533,EE	0.32 	0.16 	0.21 	0.14 
A,CP054,EE	4.65 	4.43 	5.58 	5.86 
A,CP05401,EE	1.11 	1.08 	1.29 	1.46 
A,CP05402,EE	0.38 	0.23 	0.51 	0.39 
A,CP05403,EE	3.16 	3.12 	3.78 	4.00 
A,CP05404,EE	0.00 	0.00 	0.00 	0.00 
A,CP055,EE	7.67 	7.56 	9.52 	9.11 
A,CP0551,EE	3.01 	2.57 	3.49 	2.77 
